,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
0,21653,4651,14104,186,12287,0,0,0,2405,423,177,0,9/30/2010
1,54633,14683,32036,20,21577,0,0,0,7822,635,1134,0,9/30/2010
2,17735,5350,9925,171,11137,0,0,0,2419,404,210,0,9/30/2010
3,34053,13633,17102,273,14809,0,0,0,3198,655,296,0,9/30/2010
4,92889,16135,61795,1195,63063,0,19,0,10273,1449,1287,0,9/30/2010
5,99624,32923,55534,671,68477,0,435,314,10493,3062,201,0,9/30/2010
6,32967,13777,13341,124,23104,0,0,0,5717,553,248,0,9/30/2010
7,15651,6238,6546,182,2564,0,0,0,2738,203,63,0,9/30/2010
8,16030,3311,10274,157,13875,0,0,0,2392,562,66,0,9/30/2010
9,118418,32879,71634,984,65337,0,1703,141,10942,2806,591,0,9/30/2010
10,183371,49279,106744,1811,125612,0,645,0,23976,4748,2563,0,9/30/2010
11,62823,13802,43343,758,47260,0,0,0,5599,1041,828,0,9/30/2010
12,168100,31126,107829,1674,149703,0,0,0,17357,3682,1239,0,9/30/2010
13,49930,10590,32776,335,26445,0,0,0,6140,1009,334,0,9/30/2010
14,24333,5080,14334,123,11380,0,0,0,2454,458,201,0,9/30/2010
15,55871,12228,39232,666,46156,0,0,0,4342,1344,8,0,9/30/2010
16,218224,49649,116191,1390,142653,0,83,0,22458,2635,3640,0,9/30/2010
17,6707,0,5864,0,2267,0,0,0,790,195,-4,0,9/30/2010
18,38658,10262,23630,382,24760,0,283,0,4567,695,178,0,9/30/2010
19,156680,47201,96478,1671,109677,0,0,0,12799,2542,923,0,9/30/2010
20,48682,15168,26828,285,29853,0,0,0,6607,1063,519,0,9/30/2010
21,16064,4064,9465,151,10729,0,0,0,1496,447,-37,0,9/30/2010
22,17547,4251,11045,160,10912,0,0,0,2214,364,35,0,9/30/2010
23,41580,6679,28765,913,19234,0,328,0,5859,1361,-173,0,9/30/2010
24,33160,11907,16993,148,22137,0,0,0,4126,698,554,0,9/30/2010
25,28872,13070,12707,75,6453,0,0,0,2791,899,464,0,9/30/2010
26,96602,17539,66055,1023,64776,0,0,0,9206,2060,655,0,9/30/2010
27,102870,0,83697,3009,66860,0,1470,0,18789,2137,8747,0,9/30/2010
28,16854,4710,8136,111,8229,0,0,0,3891,275,127,0,9/30/2010
29,570105,25997,464677,8179,460412,0,30,0,51040,10308,3582,0,9/30/2010
30,12684,4992,6713,77,4674,0,0,0,930,302,25,0,9/30/2010
31,35034,9775,19182,185,11250,0,0,0,5593,488,314,0,9/30/2010
32,65357,13303,45808,1568,48334,0,129,0,6054,1636,465,0,9/30/2010
33,588401,81008,443136,4953,408903,0,3097,0,61664,10873,3734,0,9/30/2010
34,71000,29842,34807,583,43262,0,0,0,5904,2154,-2,0,9/30/2010
35,55301,14699,32730,381,31239,0,0,0,5337,814,441,0,9/30/2010
36,48464,9624,33172,220,25075,0,0,0,4784,1116,235,0,9/30/2010
37,54641,18649,22097,797,18598,0,0,0,12120,943,253,0,9/30/2010
38,440105,126288,262230,4645,336565,0,368,0,33321,10443,5530,0,9/30/2010
39,40246,871,32579,262,34646,0,560,0,6693,709,297,0,9/30/2010
40,67267,8620,49625,617,41537,0,0,0,8600,715,816,0,9/30/2010
41,198933,35662,139529,954,142464,0,248,52,17426,5066,2369,0,9/30/2010
42,51114,15051,31516,138,6967,0,0,0,4476,840,421,0,9/30/2010
43,23915,5760,15240,160,10375,0,0,4,2780,640,66,0,9/30/2010
44,22402,5951,14421,201,11567,0,0,0,1898,378,135,0,9/30/2010
45,59180,16415,35127,434,36644,0,0,0,7547,1681,453,0,9/30/2010
46,40094,2614,33795,901,30016,0,1078,0,3580,1115,-705,0,9/30/2010
47,30344,7054,20043,182,19142,0,56,65,3152,761,267,0,9/30/2010
48,53098,10593,35356,572,31184,0,25,0,6885,1145,410,0,9/30/2010
49,156942,37821,94148,1633,78669,0,43,0,23896,3077,1107,0,9/30/2010
50,63928,18761,36418,710,33563,0,251,0,7508,1424,636,0,9/30/2010
51,137201,13273,106755,1088,62998,0,0,0,15111,2256,1889,0,9/30/2010
52,50586,9275,33428,438,35951,0,0,0,4244,1117,150,0,9/30/2010
53,12657,5521,4182,17,1205,0,0,0,2876,259,-42,0,9/30/2010
54,17289,3169,10127,128,10907,0,0,0,2241,403,21,0,9/30/2010
55,28538,7771,16862,304,14368,0,0,0,3778,280,294,0,9/30/2010
56,186656,40247,119628,2216,103489,0,151,82,24892,3352,1264,0,9/30/2010
57,37519,17936,16144,169,12198,0,0,0,3335,655,433,0,9/30/2010
58,50519,11976,26706,568,19096,0,1,7,11593,983,256,0,9/30/2010
59,60976,21802,33741,662,31617,0,0,0,5307,1270,1016,0,9/30/2010
60,83416,21052,45943,876,40797,0,0,0,16169,1326,1152,0,9/30/2010
61,44422,8745,27231,481,29846,0,40,0,4928,1026,283,0,9/30/2010
62,39097,7489,26763,175,19884,0,0,0,4811,552,233,0,9/30/2010
63,53253,2653,38734,253,43983,0,0,0,4951,1099,79,0,9/30/2010
64,126213,25619,77724,1475,96059,0,0,0,17438,2428,2623,0,9/30/2010
65,41769,9644,27796,351,27926,0,0,0,4243,1239,746,0,9/30/2010
66,79659,18425,50988,699,55188,0,0,0,8858,1597,287,0,9/30/2010
67,448693,24785,355103,5461,261468,0,1775,0,56575,3812,7766,0,9/30/2010
68,71612,18896,45647,1234,45914,0,65,0,6703,1541,574,0,9/30/2010
69,19137,7841,8393,135,11005,0,0,0,2884,426,90,0,9/30/2010
70,37866,6416,16497,252,31229,0,0,0,5477,746,411,0,9/30/2010
71,353302,71173,214245,1610,196787,0,1278,80,38514,6827,2388,0,9/30/2010
72,52664,10635,30480,453,22083,0,0,0,11246,716,539,0,9/30/2010
73,60502,13831,37288,478,43896,0,0,20,5544,1634,419,0,9/30/2010
74,248986,77876,124895,2054,84133,0,192,6,45351,3699,2686,0,9/30/2010
75,32010,6155,21251,160,22834,0,0,0,3332,741,402,0,9/30/2010
76,48533,14621,26647,542,37187,0,0,0,5060,1317,469,0,9/30/2010
77,74982,17362,44515,870,62827,0,0,0,7724,1617,1008,0,9/30/2010
78,43003,9878,28474,94,6726,0,0,0,4167,355,120,0,9/30/2010
79,89307,14262,64060,1056,65773,0,165,0,8156,1950,275,0,9/30/2010
80,193491,18355,150727,1696,116927,0,582,0,23590,2957,1726,0,9/30/2010
81,10414,5922,3286,7,3501,0,0,0,1201,262,-21,0,9/30/2010
82,48228,25540,16499,539,34325,0,39,0,6105,2099,426,0,9/30/2010
83,220203,47426,131409,1283,143603,0,1278,0,21479,5181,1634,0,9/30/2010
84,18920,3505,11280,230,16254,0,0,0,4089,201,459,0,9/30/2010
85,65085,13518,41986,554,30339,0,0,0,4543,1231,507,0,9/30/2010
86,64820,11259,41606,1664,50500,0,0,0,5234,1122,-216,0,9/30/2010
87,33282,8890,19543,72,9021,0,0,0,4514,689,231,0,9/30/2010
88,329267,87672,172592,2536,159768,0,0,0,48348,5590,2018,0,9/30/2010
89,56427,15152,32645,593,29510,0,0,0,8563,777,878,0,9/30/2010
90,30082,5034,16821,358,15445,0,0,0,6380,481,330,0,9/30/2010
91,78261,26356,41921,445,34972,0,0,0,8536,1547,531,0,9/30/2010
92,42313,13407,21179,620,21803,0,0,0,7520,767,186,0,9/30/2010
93,68762,26502,29942,413,30374,0,0,0,5274,1334,572,0,9/30/2010
94,48611,7381,34951,566,32385,0,0,0,5121,1603,184,0,9/30/2010
95,29010,7231,16178,244,16357,0,0,0,4630,415,344,0,9/30/2010
96,32612,9881,18664,193,20061,0,0,0,3922,776,186,0,9/30/2010
97,143635,25533,101664,808,70698,0,217,0,15652,2108,1206,0,9/30/2010
98,86116,24701,49931,1171,56953,0,0,0,7527,2068,1013,0,9/30/2010
99,230886,72874,116544,2013,134595,0,586,0,39796,5670,1678,0,9/30/2010
100,35906,0,29447,127,30468,0,0,0,6059,574,203,0,9/30/2010
101,88497,28609,51331,776,45561,0,0,0,8073,2492,1095,0,9/30/2010
102,32532,4934,21080,281,14278,0,0,0,5584,520,263,0,9/30/2010
103,66365,7495,50949,388,31796,0,251,0,5597,864,378,0,9/30/2010
104,33582,7878,15436,168,25138,0,0,0,2941,983,215,0,9/30/2010
105,31261,0,26509,380,24732,0,0,0,3376,463,102,0,9/30/2010
106,166514,55409,83731,2035,98456,0,166,0,19100,3469,1921,0,9/30/2010
107,128812,47258,66288,841,68951,0,1074,0,14887,2624,818,0,9/30/2010
108,107854,29734,62832,1445,62430,0,646,0,13728,2261,960,0,9/30/2010
109,221750,53157,130642,2470,150613,0,581,0,26466,4144,614,0,9/30/2010
110,111961,27124,66445,748,58151,0,573,0,17049,2345,707,0,9/30/2010
