,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
10216,78674.0,12053.0,9/30/2011,27312.0,37271.0,173.0,-10427.0,112.0,194499.0,0.0,419723.0,4765,327000.0,19479.0,355565.0,28555.0
14194,20526.0,2297.0,9/30/2011,9320.0,9932.0,0.0,-2294.0,33.0,22037.0,0.0,91580.0,1507,55314.0,4475.0,52333.0,29634.0
19397,14126.0,4970.0,9/30/2011,32663.0,34785.0,0.0,-6825.0,38.0,7740.0,0.0,106075.0,298,59149.0,5354.0,66319.0,39142.0
19657,33551.0,8068.0,9/30/2011,5691.0,11015.0,1234.0,-19373.0,160.0,187004.0,0.0,383132.0,2453,247663.0,24139.0,318530.0,29191.0
20115,75769.0,14254.0,9/30/2011,53131.0,32327.0,0.0,-14373.0,119.0,136345.0,0.0,351492.0,14716,253304.0,8727.0,207869.0,72780.0
21132,177186.0,46324.0,9/30/2011,21390.0,203988.0,0.0,-33054.0,277.0,541556.0,0.0,1280964.0,22179,1008764.0,33210.0,947360.0,292270.0
32347,39944.0,4752.0,9/30/2011,0.0,441.0,0.0,-2944.0,41.0,53239.0,0.0,161430.0,1433,93713.0,3927.0,152323.0,7305.0
34392,23658.0,3051.0,9/30/2011,43837.0,8527.0,0.0,-5146.0,36.0,64669.0,0.0,184750.0,1613,99260.0,5200.0,135205.0,36837.0
35395,2572.0,23628.0,9/30/2011,36997.0,40857.0,0.0,-12765.0,30.0,60525.0,0.0,195034.0,-6583,164616.0,3658.0,163163.0,17672.0
57036,24092.0,2350.0,9/30/2011,75.0,2817.0,0.0,-2569.0,32.0,83153.0,0.0,165291.0,1891,129769.0,7012.0,144311.0,13497.0
57087,26537.0,7008.0,9/30/2011,20296.0,20863.0,0.0,-7514.0,40.0,78789.0,0.0,198081.0,12672,128175.0,4672.0,136785.0,32350.0
57256,19496.0,5672.0,9/30/2011,29277.0,4473.0,0.0,-8121.0,22.0,76911.0,0.0,198993.0,1325,120294.0,6724.0,166212.0,12561.0
57537,26103.0,4972.0,9/30/2011,31661.0,18535.0,0.0,-9944.0,42.0,113159.0,0.0,209048.0,-3542,155310.0,6744.0,187454.0,24730.0
57759,1414.0,2103.0,9/30/2011,3026.0,2293.0,0.0,-1135.0,9.0,22550.0,0.0,34800.0,701,26489.0,1496.0,26754.0,3788.0
57860,14279.0,1373.0,9/30/2011,9029.0,3434.0,0.0,-103.0,12.0,22331.0,0.0,62383.0,1364,41393.0,1777.0,50031.0,5875.0
57917,26916.0,10499.0,9/30/2011,3499.0,5386.0,0.0,-6198.0,23.0,118688.0,0.0,162872.0,1715,151192.0,6313.0,109625.0,34866.0
58046,17061.0,6669.0,9/30/2011,21681.0,83970.0,0.0,-1286.0,25.0,40530.0,0.0,191852.0,2048,146160.0,6646.0,168839.0,19260.0
