,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
5687,1392,278860.0,192903.0,65130.0,107214.0,8904.0,0.0,11786.0,9794.0,-13415.0,68577.0,198012.0,44174.0,57.0,12/31/2011,1
16579,2435,397082.0,274643.0,73636.0,191830.0,7637.0,0.0,15131.0,16338.0,-9976.0,13453.0,364856.0,3508.0,80.0,12/31/2011,1
19252,4899,516760.0,358802.0,48514.0,298178.0,6846.0,0.0,12794.0,13650.0,-11665.0,18396.0,490669.0,60559.0,106.0,12/31/2011,1
19869,1021,261947.0,181481.0,30949.0,117530.0,30348.0,865.0,9268.0,12917.0,-5837.0,39429.0,220142.0,14594.0,79.0,12/31/2011,1
23187,313,93894.0,64015.0,22089.0,34683.0,3743.0,0.0,1772.0,8001.0,-4502.0,40014.0,49471.0,12196.0,32.0,12/31/2011,1
33883,15193,818237.0,665320.0,82198.0,558182.0,23368.0,0.0,43946.0,28333.0,-22642.0,63074.0,684566.0,31808.0,184.0,12/31/2011,1
34046,1143,143678.0,73335.0,458.0,61753.0,2112.0,0.0,4835.0,8347.0,-7818.0,13766.0,103047.0,34051.0,29.0,12/31/2011,1
34823,1558,105029.0,77190.0,2256.0,43746.0,19141.0,0.0,4219.0,4037.0,-5704.0,22952.0,79881.0,10600.0,28.0,12/31/2011,1
35296,-36659,1009154.0,889956.0,47070.0,407659.0,479346.0,861.0,64068.0,29916.0,-165024.0,33912.0,1003804.0,86932.0,79.0,12/31/2011,1
35419,5500,268703.0,158337.0,11316.0,98420.0,42554.0,0.0,12093.0,7313.0,-9161.0,16587.0,182366.0,76939.0,23.0,12/31/2011,1
57186,330,71485.0,51841.0,11240.0,35086.0,4648.0,0.0,2386.0,2986.0,-5608.0,18942.0,52138.0,1969.0,20.0,12/31/2011,1
57597,-1801,71202.0,44061.0,16789.0,21570.0,4556.0,0.0,5822.0,2821.0,-9168.0,2186.0,70213.0,8888.0,9.0,12/31/2011,1
58068,1882,95725.0,74095.0,15349.0,52171.0,4724.0,0.0,853.0,3397.0,-2434.0,4710.0,85922.0,9358.0,21.0,12/31/2011,1
37,17875,86776.0,41456.0,24903.0,1996.0,2888.0,0.0,1248.0,2232.0,515.0,16422.0,52247.0,33784.0,23.0,12/31/2011,0
242,4721,35222.0,22513.0,7579.0,7040.0,1474.0,0.0,169.0,952.0,478.0,10294.0,14931.0,9192.0,12.0,12/31/2011,0
279,24308,145281.0,73922.0,47358.0,18521.0,2572.0,0.0,497.0,4610.0,1087.0,20611.0,85533.0,12163.0,39.0,12/31/2011,0
354,1050,10080.0,4085.0,1155.0,1066.0,364.0,0.0,198.0,357.0,17.0,2656.0,6341.0,5551.0,4.0,12/31/2011,0
