Number of banks,Date,Year
8468,2002-12-31,2002
8445,2003-03-31,2003
8410,2003-06-30,2003
8391,2003-09-30,2003
8348,2003-12-31,2003
8286,2004-03-31,2004
8261,2004-06-30,2004
8219,2004-09-30,2004
8179,2004-12-31,2004
8141,2005-03-31,2005
8084,2005-06-30,2005
8079,2005-09-30,2005
8056,2005-12-31,2005
8020,2006-03-31,2006
8010,2006-06-30,2006
7978,2006-09-30,2006
7922,2006-12-31,2006
7896,2007-03-31,2007
7862,2007-06-30,2007
7811,2007-09-30,2007
7788,2007-12-31,2007
7740,2008-03-31,2008
7698,2008-06-30,2008
7640,2008-09-30,2008
7568,2008-12-31,2008
7520,2009-03-31,2009
7476,2009-06-30,2009
7393,2009-09-30,2009
7321,2009-12-31,2009
7250,2010-03-31,2010
7152,2010-06-30,2010
7094,2010-09-30,2010
6999,2010-12-31,2010
6923,2011-03-31,2011
6876,2011-06-30,2011
6820,2011-09-30,2011
6789,2011-12-31,2011
7377,2012-03-31,2012
7314,2012-06-30,2012
7249,2012-09-30,2012
7150,2012-12-31,2012
7085,2013-03-31,2013
7005,2013-06-30,2013
6955,2013-09-30,2013
6877,2013-12-31,2013
6794,2014-03-31,2014
6722,2014-06-30,2014
6651,2014-09-30,2014
6570,2014-12-31,2014
6480,2015-03-31,2015
6408,2015-06-30,2015
6328,2015-09-30,2015
6238,2015-12-31,2015
6176,2016-03-31,2016
6112,2016-06-30,2016
6034,2016-09-30,2016
5966,2016-12-31,2016
5908,2017-03-31,2017
5839,2017-06-30,2017
5789,2017-09-30,2017
5721,2017-12-31,2017
5657,2018-03-31,2018
5592,2018-06-30,2018
5527,2018-09-30,2018
5453,2018-12-31,2018
5406,2019-03-31,2019
5337,2019-06-30,2019
