,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income attributable,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,AsOfDate,Target
57060,6609,496552,40387,386086,9193,354174,102662,131878,101221,0,22695,17366.0,-8796.0,12/31/2009,1
34678,14575,300590,33911,230375,8433,204604,12192,49464,138783,0,9050,10520.0,-15746.0,12/31/2009,1
57399,27188,363405,34107,309232,4995,218160,39917,41451,133059,0,8889,11721.0,-8545.0,12/31/2009,1
8221,2769,28159,7840,19961,1177,24267,1000,6395,15640,0,325,1096.0,-1961.0,12/31/2009,1
24957,5844,137175,25545,105572,4053,104939,9055,26442,53683,0,2824,4321.0,-8252.0,12/31/2009,1
10054,25144,377779,40937,298660,12331,289872,16454,68239,194652,0,5648,15058.0,-30665.0,12/31/2009,1
33989,55532,1010075,117266,800309,23763,696628,77725,183652,410115,6036,17967,32055.0,-59346.0,12/31/2009,1
33535,96902,1525931,20737,1498734,160079,783631,780623,0,0,0,-40551,227305.0,-451294.0,12/31/2009,1
58104,1874,96535,2874,91093,1087,66791,6082,1828,58881,0,2282,4590.0,-5192.0,12/31/2009,1
18806,0,70318,13057,53695,1657,51203,9538,1338,40288,0,560,3079.0,-10610.0,12/31/2009,1
29561,52235,243215,33560,174261,5381,160389,12214,36743,102973,0,13578,10315.0,-9523.0,12/31/2009,1
58182,41915,336390,32183,287563,20821,286570,35491,17169,233737,0,9020,13444.0,-32537.0,12/31/2009,1
27096,85662,520146,48836,445669,17453,387239,128470,48843,200313,0,-2888,20134.0,-19887.0,12/31/2009,1
58071,5002,216500,19951,189526,6846,186319,16095,7144,162609,0,4766,9775.0,-10741.0,12/31/2009,1
34430,1970,212839,24426,180650,2587,150292,14134,23680,110395,0,6374,7433.0,-14346.0,12/31/2009,1
9268,17321,211711,7635,190852,11090,169714,37340,42580,88573,0,8115,6477.0,-5684.0,12/31/2009,1
27126,69126,18698,424783,432052,15681,66835,339592,0,8713,20567,-40039,,,12/31/2009,1
38129,17149,717806,89722,356470,10187,575922,39279,88556,433969,0,-11084,28207.0,-68969.0,12/31/2009,1
58352,4087,51095,3983,46041,3411,39594,2104,6852,28354,0,888,3395.0,-4734.0,12/31/2009,1
